interaction_id,time_of_day,device,location
1,Evening,Tablet,New York
2,Evening,Mobile,San Francisco
3,Morning,Desktop,New York
4,Evening,Tablet,New York
5,Night,Desktop,Chicago
6,Night,Desktop,Chicago
7,Afternoon,Mobile,Los Angeles
8,Morning,Mobile,San Francisco
9,Morning,Mobile,Chicago
10,Evening,Desktop,New York
11,Morning,Tablet,Chicago
12,Evening,Mobile,Los Angeles
13,Evening,Mobile,Los Angeles
14,Morning,Mobile,Los Angeles
15,Afternoon,Desktop,San Francisco
16,Evening,Mobile,Chicago
17,Night,Desktop,San Francisco
18,Night,Mobile,San Francisco
19,Morning,Mobile,Chicago
20,Morning,Mobile,Los Angeles
21,Evening,Desktop,San Francisco
22,Evening,Mobile,Los Angeles
23,Night,Tablet,New York
24,Evening,Mobile,San Francisco
25,Night,Mobile,New York
26,Evening,Mobile,Los Angeles
27,Afternoon,Tablet,Houston
28,Afternoon,Desktop,Los Angeles
29,Night,Mobile,New York
30,Afternoon,Desktop,San Francisco
31,Afternoon,Mobile,Chicago
32,Morning,Mobile,Los Angeles
33,Evening,Mobile,Houston
34,Morning,Desktop,New York
35,Night,Mobile,Chicago
36,Morning,Mobile,Houston
37,Night,Mobile,New York
38,Afternoon,Mobile,Chicago
39,Morning,Mobile,San Francisco
40,Afternoon,Mobile,New York
41,Evening,Mobile,Los Angeles
42,Afternoon,Tablet,Chicago
43,Evening,Mobile,San Francisco
44,Afternoon,Mobile,San Francisco
45,Morning,Mobile,Los Angeles
46,Morning,Mobile,New York
47,Afternoon,Desktop,Chicago
48,Night,Mobile,Chicago
49,Night,Desktop,Chicago
50,Evening,Desktop,Houston
51,Evening,Desktop,Chicago
52,Afternoon,Mobile,Houston
53,Morning,Mobile,Houston
54,Evening,Mobile,Chicago
55,Afternoon,Desktop,Chicago
56,Evening,Mobile,San Francisco
57,Morning,Mobile,New York
58,Evening,Mobile,San Francisco
59,Afternoon,Desktop,New York
60,Evening,Desktop,New York
61,Night,Mobile,New York
62,Evening,Mobile,Chicago
63,Morning,Mobile,San Francisco
64,Morning,Mobile,Los Angeles
65,Morning,Desktop,San Francisco
66,Morning,Desktop,Los Angeles
67,Afternoon,Desktop,San Francisco
68,Evening,Mobile,Los Angeles
69,Evening,Desktop,New York
70,Evening,Tablet,New York
71,Evening,Tablet,Houston
72,Afternoon,Desktop,Houston
73,Morning,Mobile,New York
74,Evening,Desktop,San Francisco
75,Evening,Desktop,San Francisco
76,Morning,Desktop,Chicago
77,Night,Mobile,Chicago
78,Night,Tablet,San Francisco
79,Morning,Mobile,Chicago
80,Evening,Mobile,New York
81,Morning,Mobile,Los Angeles
82,Evening,Desktop,Chicago
83,Evening,Mobile,Houston
84,Night,Mobile,Los Angeles
85,Night,Desktop,San Francisco
86,Evening,Desktop,New York
87,Evening,Desktop,Houston
88,Evening,Mobile,Houston
89,Night,Desktop,Chicago
90,Evening,Mobile,Los Angeles
91,Morning,Mobile,New York
92,Afternoon,Mobile,Chicago
93,Afternoon,Desktop,New York
94,Evening,Mobile,New York
95,Morning,Mobile,Houston
96,Evening,Mobile,New York
97,Morning,Mobile,Chicago
98,Night,Tablet,Los Angeles
99,Night,Tablet,Houston
100,Evening,Mobile,Los Angeles
101,Night,Mobile,Houston
102,Evening,Mobile,Houston
103,Afternoon,Desktop,Los Angeles
104,Morning,Mobile,Houston
105,Morning,Mobile,Los Angeles
106,Afternoon,Mobile,Chicago
107,Afternoon,Mobile,Houston
108,Afternoon,Mobile,New York
109,Afternoon,Mobile,San Francisco
110,Night,Mobile,Chicago
111,Morning,Mobile,Los Angeles
112,Morning,Tablet,Houston
113,Afternoon,Mobile,Los Angeles
114,Evening,Mobile,San Francisco
115,Evening,Tablet,Houston
116,Evening,Desktop,Chicago
117,Evening,Mobile,Chicago
118,Night,Desktop,Los Angeles
119,Morning,Mobile,Chicago
120,Morning,Desktop,Los Angeles
121,Morning,Tablet,Houston
122,Evening,Mobile,San Francisco
123,Afternoon,Mobile,New York
