user_id,age,gender,location,interests_categories,avg_preferred_price,preferred_brands,common_interaction_types,interacted_products,high_rated_products
1,56,Male,San Francisco,"['Home & Kitchen', 'Electronics', 'Toys']",317.48,"['BrandA', 'BrandE', 'BrandC']","['view', 'purchase', 'add_to_cart']","[359, 251, 476, 339, 356, 300, 381, 329]","[174, 420]"
2,46,Female,Houston,"['Home & Kitchen', 'Beauty', 'Books']",344.33,"['BrandC', 'BrandD', 'BrandA']",['view'],"[395, 54, 381, 59, 304]",[]
3,32,Male,Chicago,"['Clothing', 'Books', 'Electronics']",140.62,"['BrandE', 'BrandA', 'BrandD']",['view'],"[273, 105]","[349, 379, 135]"
4,60,Other,San Francisco,"['Electronics', 'Sports', 'Clothing']",214.51,"['BrandC', 'BrandB', 'BrandA']","['view', 'purchase', 'add_to_cart']","[131, 155, 70, 128, 2]",[171]
5,25,Male,Los Angeles,"['Home & Kitchen', 'Toys', 'Books']",199.37,"['BrandC', 'BrandB', 'BrandA']","['view', 'add_to_cart']","[190, 286, 155, 232]",[158]
6,38,Male,San Francisco,"['Toys', 'Books', 'Sports']",222.26,"['BrandC', 'BrandA', 'BrandB']","['view', 'add_to_cart', 'purchase']","[101, 284, 52, 418, 45, 34]",[]
7,56,Male,New York,"['Books', 'Home & Kitchen', 'Electronics']",250.09,"['BrandD', 'BrandB', 'BrandE']","['add_to_cart', 'view']","[369, 275, 223, 211]",[76]
8,36,Male,Chicago,"['Home & Kitchen', 'Beauty', 'Clothing']",195.61,"['BrandC', 'BrandB', 'BrandD']","['view', 'add_to_cart']","[474, 109, 194, 56, 437]","[486, 292]"
9,40,Other,Los Angeles,"['Toys', 'Beauty', 'Electronics']",185.85,"['BrandA', 'BrandD', 'BrandE']","['view', 'add_to_cart']","[275, 201, 342, 492]",[310]
10,28,Other,Houston,"['Electronics', 'Sports', 'Books']",165.65,"['BrandD', 'BrandB', 'BrandC']","['view', 'purchase', 'add_to_cart']","[242, 428, 104, 68, 307]","[449, 238]"
11,28,Female,Los Angeles,"['Sports', 'Electronics', 'Beauty']",213.33,"['BrandC', 'BrandA']",['view'],"[273, 450]",[477]
12,41,Other,Houston,"['Electronics', 'Sports', 'Home & Kitchen']",121.72,"['BrandA', 'BrandB', 'BrandC']","['view', 'add_to_cart', 'purchase']","[467, 422, 498, 3, 136, 58]",[]
13,53,Other,Los Angeles,"['Beauty', 'Home & Kitchen', 'Sports']",217.32,"['BrandA', 'BrandD', 'BrandB']","['view', 'add_to_cart']","[325, 301, 284, 145, 481, 366, 388, 359, 229]",[]
14,57,Female,San Francisco,"['Clothing', 'Books', 'Sports']",211.5,"['BrandC', 'BrandB', 'BrandA']","['view', 'add_to_cart', 'purchase']","[396, 210, 235, 473, 97, 416, 480]",[]
15,41,Other,San Francisco,"['Books', 'Electronics', 'Home & Kitchen']",390.21,"['BrandD', 'BrandB', 'BrandE']","['view', 'add_to_cart']","[84, 241, 107]",[336]
16,20,Male,San Francisco,"['Beauty', 'Sports', 'Home & Kitchen']",319.94,"['BrandB', 'BrandC', 'BrandD']","['purchase', 'add_to_cart']","[202, 382, 7, 84, 344, 387]",[]
17,39,Male,New York,"['Books', 'Sports', 'Electronics']",255.54,"['BrandB', 'BrandA', 'BrandC']","['view', 'add_to_cart']","[363, 193, 191]","[110, 31]"
18,19,Female,Houston,"['Electronics', 'Clothing', 'Home & Kitchen']",275.06,"['BrandB', 'BrandC', 'BrandE']",['view'],"[123, 61, 264, 411]","[263, 323, 335]"
19,41,Female,San Francisco,"['Toys', 'Home & Kitchen', 'Books']",238.82,"['BrandD', 'BrandB', 'BrandA']","['view', 'add_to_cart', 'purchase']","[27, 38, 456, 474, 438, 160, 390, 92]",[324]
20,61,Female,New York,"['Sports', 'Toys', 'Electronics']",391.18,"['BrandA', 'BrandC']","['view', 'add_to_cart']","[62, 269]",[]
21,47,Male,Houston,"['Electronics', 'Sports', 'Toys']",176.03,"['BrandC', 'BrandB', 'BrandE']","['view', 'purchase']","[401, 411, 282, 100, 88]",[191]
22,55,Other,Los Angeles,"['Books', 'Home & Kitchen', 'Electronics']",241.87,"['BrandE', 'BrandB', 'BrandD']","['view', 'purchase']","[347, 208, 136, 265]",[]
23,19,Male,New York,['Beauty'],209.38,"['BrandD', 'BrandC']",[],[],[459]
24,38,Female,Chicago,"['Books', 'Electronics']",381.48,['BrandC'],['purchase'],[280],[]
25,50,Other,New York,"['Toys', 'Sports', 'Books']",229.85,"['BrandB', 'BrandA', 'BrandE']","['view', 'add_to_cart']","[65, 25, 378, 465, 286, 337, 100, 194]",[111]
26,29,Other,New York,"['Electronics', 'Sports', 'Toys']",256.97,"['BrandD', 'BrandB', 'BrandE']",['view'],"[238, 188, 189, 19, 208]",[]
27,39,Male,Houston,"['Toys', 'Home & Kitchen', 'Sports']",172.82,"['BrandC', 'BrandA', 'BrandD']","['view', 'purchase', 'add_to_cart']","[437, 93, 349, 275, 494, 425]",[74]
28,61,Female,Los Angeles,"['Clothing', 'Electronics', 'Toys']",316.3,"['BrandD', 'BrandB', 'BrandC']","['view', 'add_to_cart']","[206, 94, 163, 202]","[259, 485, 370, 77, 398]"
29,42,Male,Chicago,"['Electronics', 'Sports', 'Clothing']",265.88,"['BrandB', 'BrandE', 'BrandA']","['view', 'add_to_cart']","[466, 176, 76, 281, 40, 400]","[365, 92]"
30,44,Other,San Francisco,"['Home & Kitchen', 'Toys', 'Books']",304.48,"['BrandD', 'BrandE', 'BrandB']","['add_to_cart', 'view']","[192, 129, 205, 141, 164]",[141]
31,59,Male,San Francisco,"['Beauty', 'Electronics', 'Home & Kitchen']",325.41,"['BrandB', 'BrandA', 'BrandE']","['view', 'add_to_cart']","[106, 241, 417, 98]",[377]
32,45,Male,New York,"['Books', 'Sports', 'Home & Kitchen']",238.82,"['BrandC', 'BrandE', 'BrandD']","['add_to_cart', 'view']","[463, 52, 479, 473, 454]",[266]
